SeqNum,InitialVelocity,Kr,InitialTargetDist,Tb,Tb_prime,Tb_idx,decrement_point,detection_point,MaxCallRatePoint,OverlapPoint,Rate,Velocity,Distance,IPI,CallDur,Amplitude
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,1.42916666666667,0.844218582100964,20,0.699708454810496,0.01,94
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,1.47266225287191,1.05545725950116,19.4092931203958,0.679042324911807,0.01,70
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,1.52912618279582,0.878734765871953,18.6925929690591,0.653968267139095,0.01,69.953488372093
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,1.57762702408958,1.0599265014892,18.117928316947,0.633863381350914,0.01,69.9069767441861
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,1.63838144677113,0.983830780880486,17.4460797207296,0.61035847419462,0.01,69.8604651162791
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,1.6967843145436,0.935306214946441,16.8455902664457,0.589350096785271,0.01,69.8139534883721
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,1.75418489896942,1.04890780766608,16.2943674581431,0.570065333812587,0.01,69.7674418604651
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,1.8210095448987,1.11780963219821,15.6964214786273,0.54914594094323,0.01,69.7209302325581
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,1.89512216811908,1.03071847869777,15.0825808563584,0.527670467277846,0.01,69.6744186046512
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,1.96601697967783,0.947360845617563,14.5387011550721,0.508642606008352,0.01,69.6279069767442
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.03341202102092,0.930431820652485,14.0568330657269,0.491784247197441,0.01,69.5813953488372
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.10182984140724,0.921519187603395,13.5992613532387,0.475775907401938,0.01,69.5348837209302
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.17184970770126,1.00642114946429,13.1608247255684,0.460437016637963,0.01,69.4883720930233
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.25111149976538,0.930289901796297,12.6974311740277,0.444224997342078,0.01,71.5127088734129
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.32684227063818,0.958764856554115,12.2841731448749,0.429766990491251,0.01,73.1428574074823
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.40759989759289,1.09167153989075,11.8721276578849,0.415351404940579,0.01,74.9609780525253
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.50320373221714,1.00175751978784,11.4187003500576,0.399488058894144,0.01,76.5883342068118
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.59411960951368,0.956355194748239,11.018510182995,0.385487236722856,0.01,78.1077377731541
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.68391950553965,1.03644955506863,10.6498474616459,0.372589415567787,0.01,79.7216580317189
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.78490178722885,1.11369442128633,10.2636773276574,0.359079090180434,0.01,81.4189396006449
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,2.89780933560245,1.0678901786992,9.86377294812288,0.345088266406631,0.01,83.0082495716989
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,3.01027498305147,1.09646899386075,9.4952565776429,0.332195565398585,0.01,84.6048503332039
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,3.13035682073023,0.981067732557114,9.13101444028531,0.319452400243218,0.01,86.0006699992012
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,3.24161913928868,1.07171919324512,8.81760999831877,0.30848781335226,0.01,87.4969622203684
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,3.36789691532451,1.1744690603911,8.48699768786693,0.296921201907881,0.01,89.1038594817767
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,3.51221120307631,1.08348144318276,8.13827292285199,0.284720918583743,0.00945176569419337,90.5518801052518
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,3.65059069974679,0.98028026853406,7.82978309108055,0.273928271408066,0.00961857969322038,91.8342098407015
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,3.78023585251503,0.977485606892656,7.56125661162559,0.264533759007309,0.00830067845702768,93.0897323035955
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,3.91408887427729,0.988774407302922,7.30267866965873,0.255487300396224,0.00818227894686875,93.6626427149191
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,4.05433938225493,0.867025382008614,7.05005936563603,0.246649307252572,0.00892159373695699,92.5891054197269
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,4.18116778803919,1.10609224725412,6.83620815579321,0.239167632272649,0.00803416560914169,91.2374493680816
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,4.34948007457227,1.17210885604299,6.57166669194231,0.229912537327428,0.00840101333876118,89.8315651328381
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,4.5354646196557,0.99050488877306,6.30218417082552,0.220484577404974,0.00741603940510783,88.6690310707592
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,4.69827503569016,1.11690026810594,6.08379311900683,0.21284407413435,0.00790346839360785,87.3780579161916
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,4.88932658703416,0.896404145573616,5.84606751554141,0.204527143400866,0.00698147608356928,86.3629212020737
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,5.04762556602018,1.04729406650199,5.66272853631455,0.198112951707798,0.00661960185519674,85.1920628522488
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,5.23960482106084,1.05285083991588,5.45524601749377,0.190854088075584,0.00685463734995796,84.0341691320873
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,5.43998352266915,0.862310921653246,5.25430513056202,0.18382408620042,0.0063184708583001,83.1029164611081
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,5.60920373163355,1.01695546401583,5.09579161336847,0.178278423791317,0.00579722208780841,82.017107053504
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,5.81613372478335,1.01641358945149,4.91449039617776,0.171935524064528,0.00630158481158102,80.9481147206053
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,6.03057906038342,0.874864033142048,4.73973279300911,0.165821555440552,0.00598147643705824,80.0428386376236
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,6.22098787228096,1.07709548435596,4.5946614782345,0.160746174165638,0.00519560690923074,78.9396397872813
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,6.46459072274189,1.1611225334008,4.42152249991319,0.154688833816205,0.0058414145841604,77.7669921756301
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,6.73831708317843,0.94544161407844,4.24190980930371,0.148405007905669,0.00466056436911844,76.8294036024704
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,6.96882255892188,0.852200540739754,4.10160153909205,0.143496263758322,0.00509317725774436,75.9956957113385
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,7.18298021333327,0.792362842949348,3.97931394552307,0.13921798060139,0.00516648955072585,75.2295863620152
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,7.38777790561447,0.867693258930632,3.86900279062408,0.135358698214254,0.00374658741774244,74.3983511491403
1,1,5,20,0.165821555440552,-0.00507538127491344,42,2,2,140,136,7.61906699256934,0.751485783956859,3.75155296064595,0.131249666261666,0.00462888116520199,73.6871800350317
