ConditionName,SeqID,ConditionCode,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankIPI_ms,RightFlankIPI_ms,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG
two_targets_stationary_anchor_random,1002,C2,1,2,8,9,26,32.6923076923077,18.4129014932529,0.0462115725555201,29.6512011226775,25.3570278115544,1.61034919637965,1.3771337353239,0.529204593050683,0.529204593050683,1,0
two_targets_stationary_anchor_random,1002,C2,2,2,13,14,26,51.9230769230769,11.9840451741415,0.0465387068299695,21.8908036781102,19.2194771832499,1.82666231310149,1.60375540178374,0.344543611101206,0.344543611101206,1,0
two_targets_stationary_anchor_random,1003,C2,3,2,17,18,23,76.0869565217391,7.7312860368615,0.0474253801666584,14.1491366470363,12.6393801068512,1.83011423708494,1.63483540081025,0.22215249473723,0.22215249473723,1,0
two_targets_stationary_anchor_random,1005,C2,4,2,6,7,20,32.5,17.3695233447171,0.0415724144971181,25.948148567584,22.1750245313535,1.49388950131876,1.27666281286286,0.498975609186387,0.498975609186387,1,0
two_targets_stationary_anchor_random,1012,C2,5,2,16,17,18,91.6666666666667,5.89872026870497,0.0468255292723982,17.6195393990747,15.8397122417374,2.98701050337195,2.6852794369269,0.169607373048094,0.169607373048094,1,0
two_targets_stationary_anchor_random,1024,C2,6,2,11,12,49,23.469387755102,12.2027930776333,0.0385814760926775,21.2491990864394,18.2045878540892,1.74133896651804,1.49183778978083,0.350705054642346,0.350705054642346,1,0
two_targets_stationary_anchor_random,1024,C2,7,2,21,22,49,43.8775510204082,7.29987264621231,0.0360307964422032,13.5861006087877,12.5371198719965,1.86114214140944,1.71744364314378,0.209747705756187,0.209747705756187,1,0
two_targets_stationary_anchor_random,1024,C2,8,2,41,42,49,84.6938775510204,6.96529652301534,0.0388165815544853,8.36446823165897,8.64086925829595,1.20087755115958,1.24056014410069,0.200127937026836,0.200127937026836,1,0
two_targets_stationary_anchor_random,1025,C2,9,2,3,4,21,16.6666666666667,29.7984229614973,0.0483315885353835,43.8809164674293,38.3492806247384,1.47259190609275,1.28695671828975,0.85585621045975,0.85585621045975,1,0
two_targets_stationary_anchor_random,1029,C2,10,2,21,22,26,82.6923076923077,7.29270206058153,0.0401010639720731,13.8577408290099,12.8637883350798,1.90022034547574,1.76392621393531,0.209580448518613,0.209580448518613,1,0
two_targets_stationary_anchor_random,1030,C2,11,2,21,22,24,89.5833333333333,6.52372663092022,0.0363408879392362,9.3151531527903,8.0379785214363,1.42788833435167,1.23211455295184,0.187326869029309,0.187326869029309,1,0
two_targets_stationary_anchor_random,1037,C2,12,2,6,7,25,26,23.4224029017183,0.0490187036842877,32.0987747075067,28.3562708934956,1.37043047385851,1.21064738799346,0.673014782814654,0.673014782814654,1,0
two_targets_stationary_anchor_random,1039,C2,13,2,11,12,15,76.6666666666667,8.76326286684414,0.0438745276523881,21.5653053013473,19.3633687948325,2.46087623172183,2.20960720784652,0.252068879417966,0.252068879417966,1,0
two_targets_stationary_anchor_random,1210,C2,14,2,31,32,35,90,7.21887567908954,0.04744817459546,10.5679229592055,9.0828527194682,1.46392920850776,1.25820877422476,0.207478188081015,0.207478188081015,1,0
two_targets_stationary_anchor_random,1211,C2,15,2,22,23,44,51.1363636363636,11.9389215623192,0.0488546287325099,17.9167224940728,15.5479643681483,1.50069856817054,1.30229219506891,0.343100799800338,0.343100799800338,1,0
two_targets_stationary_anchor_random,1215,C2,16,2,60,61,134,45.1492537313433,7.61304457696834,0.0421970755016917,9.18764574190353,9.28294467698265,1.20682936360294,1.21934721163544,0.218544428679607,0.218544428679607,1,0
two_targets_stationary_anchor_random,1215,C2,17,2,74,75,134,55.5970149253731,6.84209644553211,0.0491922803883039,9.89372122872085,10.101908919776,1.44600727386435,1.47643474484674,0.196667743485452,0.196667743485452,1,0
two_targets_stationary_anchor_random,1215,C2,18,2,93,94,134,69.7761194029851,7.27354328214941,0.0411327436331704,9.46782344377363,9.74526114974887,1.30167967337314,1.3398230782053,0.209049461608402,0.209049461608402,1,0
two_targets_stationary_anchor_random,1215,C2,19,2,110,111,134,82.4626865671642,7.34392072380044,0.0488847375822922,9.25535119282842,9.67978330904311,1.26027384293969,1.31806751095127,0.211131753163376,0.211131753163376,1,0
two_targets_stationary_anchor_random,1215,C2,20,2,116,117,134,86.9402985074627,7.49004041442039,0.0479327841115502,8.99759673531505,9.55838942663725,1.20127479125376,1.27614657568933,0.215332199881531,0.215332199881531,1,0
two_targets_stationary_anchor_random,1215,C2,21,2,119,120,134,89.1791044776119,7.13706910056228,0.0450109559737992,9.55838942663725,9.77239854430662,1.33925975662534,1.36924533118738,0.20503449388064,0.20503449388064,1,0
two_targets_stationary_anchor_random,1218,C2,22,2,46,47,81,57.4074074074074,7.08959316879565,0.0492303245312831,9.19732370745851,9.36816364273249,1.29729922274523,1.32139650607398,0.203887164239996,0.203887164239996,1,0
two_targets_stationary_anchor_random,1219,C2,23,2,20,21,32,64.0625,15.5082501319818,0.0411297048024611,22.8815262166429,19.4236106801879,1.47544216929127,1.25246952524525,0.445606372955886,0.445606372955886,1,0
two_targets_stationary_anchor_random,1225,C2,24,2,32,33,41,79.2682926829268,7.78228261987825,0.0497734612189537,12.4970820152843,11.5141940595099,1.60583759620385,1.47953943873733,0.223692157340818,0.223692157340818,1,0
