SeqID,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG,ConditionName
1002,1,2,8,9,26,32.6923076923077,18.4129014932529,0.0462115725555201,1.61034919637965,1.3771337353239,0.529204593050683,0.529204593050683,1,0,two_targets_stationary_anchor_random
1002,2,2,13,14,26,51.9230769230769,11.9840451741415,0.0465387068299695,1.82666231310149,1.60375540178374,0.344543611101206,0.344543611101206,1,0,two_targets_stationary_anchor_random
1003,3,2,17,18,23,76.0869565217391,7.7312860368615,0.0474253801666584,1.83011423708494,1.63483540081025,0.22215249473723,0.22215249473723,1,0,two_targets_stationary_anchor_random
1005,4,2,6,7,20,32.5,17.3695233447171,0.0415724144971181,1.49388950131876,1.27666281286286,0.498975609186387,0.498975609186387,1,0,two_targets_stationary_anchor_random
1012,5,2,16,17,18,91.6666666666667,5.89872026870497,0.0468255292723982,2.98701050337195,2.6852794369269,0.169607373048094,0.169607373048094,1,0,two_targets_stationary_anchor_random
1024,6,2,11,12,49,23.469387755102,12.2027930776333,0.0385814760926775,1.74133896651804,1.49183778978083,0.350705054642346,0.350705054642346,1,0,two_targets_stationary_anchor_random
1024,7,2,21,22,49,43.8775510204082,7.29987264621231,0.0360307964422032,1.86114214140944,1.71744364314378,0.209747705756187,0.209747705756187,1,0,two_targets_stationary_anchor_random
1024,8,2,41,42,49,84.6938775510204,6.96529652301534,0.0388165815544853,1.20087755115958,1.24056014410069,0.200127937026836,0.200127937026836,1,0,two_targets_stationary_anchor_random
1025,9,2,3,4,21,16.6666666666667,29.7984229614973,0.0483315885353835,1.47259190609275,1.28695671828975,0.85585621045975,0.85585621045975,1,0,two_targets_stationary_anchor_random
1029,10,2,21,22,26,82.6923076923077,7.29270206058153,0.0401010639720731,1.90022034547574,1.76392621393531,0.209580448518613,0.209580448518613,1,0,two_targets_stationary_anchor_random
1030,11,2,21,22,24,89.5833333333333,6.52372663092022,0.0363408879392362,1.42788833435167,1.23211455295184,0.187326869029309,0.187326869029309,1,0,two_targets_stationary_anchor_random
1037,12,2,6,7,25,26,23.4224029017183,0.0490187036842877,1.37043047385851,1.21064738799346,0.673014782814654,0.673014782814654,1,0,two_targets_stationary_anchor_random
1039,13,2,11,12,15,76.6666666666667,8.76326286684414,0.0438745276523881,2.46087623172183,2.20960720784652,0.252068879417966,0.252068879417966,1,0,two_targets_stationary_anchor_random
