VelocityBand_m_s,FieldCount,FieldProportion,SimulationCount,SimulationProportion
2,174,0.0393220338983051,6,0.00135531962954597
4,773,0.174689265536723,1216,0.274678111587983
6,1826,0.412655367231638,1868,0.421956177998645
8,1382,0.312316384180791,1175,0.265416760786085
10,270,0.0610169491525424,162,0.0365936299977411
