DistanceMid_m,SimulationQ25_m_s,SimulationMedian_m_s,SimulationQ75_m_s,SimulationNumRows
0.0877381916419476,4.31945727675832,5.00076951827858,5.84159215138508,1515
0.263214574925821,5.04382919827234,6.0198469601429,7.08711788981718,1451
0.438690958209695,5.9365692998465,6.9523279118517,7.79636304400973,710
0.614167341493568,6.24314309709813,7.24900049327081,8.16627038255742,353
0.789643724777442,6.43659232908212,7.71638987814403,8.42074838929716,167
0.965120108061315,6.44269866486321,7.56658847162594,8.22987500331994,92
1.14059649134519,6.34196506335444,7.22988522325361,8.92029836356102,55
1.31607287462906,7.16012878547862,7.91053235464593,8.87230167069301,28
1.49154925791294,6.83221451606038,7.98975188127302,8.69559015566817,29
1.66702564119681,7.17809493803475,7.78558728815426,8.35889247909618,9
1.84250202448068,7.90349896024838,8.68710607954807,9.18092851405897,14
2.01797840776456,7.75167062516468,8.77282325548055,9.79397588579642,2
2.19345479104843,8.96806362747456,8.96806362747456,8.96806362747456,1
2.3689311743323,NaN,NaN,NaN,0
2.54440755761618,9.52328885775181,9.52328885775181,9.52328885775181,1
