Dataset,NumRows,MedianEffectiveVelocity_m_s,Q1EffectiveVelocity_m_s,Q3EffectiveVelocity_m_s,MeanEffectiveVelocity_m_s
Field,4425,6.46111794678299,5.23853866887438,7.59330321729164,6.36046027181632
Simulation,4427,6.0016155408619,4.90811583782361,7.28996741760636,6.13824843326348
