Response,Dataset,DistanceBin,DistanceMid_m,NumRows,MedianAbsResidual_ms,AbsResidualQ1_ms,AbsResidualQ3_ms
IPI_ms,Field,1,0.109672739552421,422,3.68108035743468,1.99349589285961,9.6341279388041
IPI_ms,Field,2,0.329018218657264,1272,2.13226176736952,1.30882904100663,4.50109581190711
IPI_ms,Field,3,0.548363697762107,1830,2.60591470805403,1.54266117087822,3.21533736080181
IPI_ms,Field,4,0.76770917686695,725,3.10906237590983,1.50228439577334,4.65342656884182
IPI_ms,Field,5,0.987054655971793,105,4.1913702092746,2.20052819368921,6.584105436536
IPI_ms,Field,6,1.20640013507664,41,7.19051703315446,5.93369345738009,7.91173443363802
IPI_ms,Field,7,1.42574561418148,17,6.40920164804507,3.60271034422406,10.0569776371859
IPI_ms,Field,8,1.64509109328632,7,10.6624687877736,6.8810771760831,11.4488745683731
IPI_ms,Field,9,1.86443657239116,8,12.836973552964,5.47400113481362,13.153432970439
IPI_ms,Simulation,1,0.109672739552421,1955,2.81745156389109,1.92218860432161,4.04602972931362
IPI_ms,Simulation,2,0.329018218657264,1431,1.92743045693504,1.02290722508772,2.30735400057375
IPI_ms,Simulation,3,0.548363697762107,571,2.54405143119013,1.47030488938735,3.41430047505304
IPI_ms,Simulation,4,0.76770917686695,239,3.5005872624325,1.88181030166374,4.54937744832364
IPI_ms,Simulation,5,0.987054655971793,110,4.97147528201377,2.73215553573428,6.09438569013845
IPI_ms,Simulation,6,1.20640013507664,53,6.3433682417307,3.17535415399402,7.4697507559074
IPI_ms,Simulation,7,1.42574561418148,36,6.51083627378608,2.8785191899249,8.94617010189987
IPI_ms,Simulation,8,1.64509109328632,14,10.7149681072223,8.42022502793151,11.0258722101599
IPI_ms,Simulation,9,1.86443657239116,14,5.89756873728719,2.23544705140665,11.7820793737884
Ta_ms,Field,1,0.109672739552421,422,0.613513392905784,0.332249315476597,1.60568798980069
Ta_ms,Field,2,0.329018218657264,1272,0.355376961228253,0.218138173501102,0.750182635317855
Ta_ms,Field,3,0.548363697762107,1830,0.434319118009006,0.257110195146376,0.535889560133631
Ta_ms,Field,4,0.76770917686695,725,0.518177062651636,0.250380732628888,0.775571094806964
Ta_ms,Field,5,0.987054655971793,105,0.698561701545767,0.36675469894821,1.09735090608933
Ta_ms,Field,6,1.20640013507664,41,1.19841950552574,0.988948909563348,1.31862240560634
Ta_ms,Field,7,1.42574561418148,17,1.06820027467419,0.600451724037333,1.67616293953097
Ta_ms,Field,8,1.64509109328632,7,1.7770781312956,1.14684619601386,1.90814576139552
Ta_ms,Field,9,1.86443657239116,8,2.13949559216065,0.912333522468931,2.19223882840648
Ta_ms,Simulation,1,0.109672739552421,1955,0.469575260648517,0.320364767386937,0.674338288218938
Ta_ms,Simulation,2,0.329018218657264,1431,0.321238409489173,0.170484537514616,0.384559000095626
Ta_ms,Simulation,3,0.548363697762107,571,0.424008571865018,0.245050814897895,0.569050079175503
Ta_ms,Simulation,4,0.76770917686695,239,0.583431210405415,0.313635050277285,0.758229574720604
Ta_ms,Simulation,5,0.987054655971793,110,0.828579213668956,0.45535925595571,1.01573094835641
Ta_ms,Simulation,6,1.20640013507664,53,1.05722804028845,0.529225692332338,1.2449584593179
Ta_ms,Simulation,7,1.42574561418148,36,1.08513937896434,0.479753198320806,1.49102835031664
Ta_ms,Simulation,8,1.64509109328632,14,1.78582801787038,1.40337083798857,1.83764536835998
Ta_ms,Simulation,9,1.86443657239116,14,0.982928122881193,0.37257450856778,1.96367989563139
Tb_ms,Field,1,0.109672739552421,422,3.0675669645289,1.661246577383,8.02843994900343
Tb_ms,Field,2,0.329018218657264,1272,1.77688480614126,1.0906908675055,3.75091317658929
Tb_ms,Field,3,0.548363697762107,1830,2.17159559004502,1.28555097573189,2.67944780066814
Tb_ms,Field,4,0.76770917686695,725,2.59088531325816,1.25190366314444,3.87785547403482
Tb_ms,Field,5,0.987054655971793,105,3.49280850772878,1.83377349474106,5.48675453044662
Tb_ms,Field,6,1.20640013507664,41,5.99209752762866,4.9447445478167,6.59311202803165
Tb_ms,Field,7,1.42574561418148,17,5.34100137337094,3.00225862018665,8.38081469765481
Tb_ms,Field,8,1.64509109328632,7,8.88539065647791,5.73423098006916,9.54072880697754
Tb_ms,Field,9,1.86443657239116,8,10.6974779608032,4.56166761234464,10.9611941420324
Tb_ms,Simulation,1,0.109672739552421,1955,2.34787630324257,1.60182383693468,3.37169144109469
Tb_ms,Simulation,2,0.329018218657264,1431,1.60619204744587,0.85242268757308,1.92279500047812
Tb_ms,Simulation,3,0.548363697762107,571,2.12004285932507,1.22525407448948,2.84525039587751
Tb_ms,Simulation,4,0.76770917686695,239,2.91715605202704,1.56817525138645,3.79114787360303
Tb_ms,Simulation,5,0.987054655971793,110,4.14289606834478,2.27679627977855,5.07865474178207
Tb_ms,Simulation,6,1.20640013507664,53,5.28614020144221,2.64612846166167,6.2247922965895
Tb_ms,Simulation,7,1.42574561418148,36,5.42569689482171,2.39876599160398,7.45514175158318
Tb_ms,Simulation,8,1.64509109328632,14,8.92914008935189,7.01685418994288,9.18822684179986
Tb_ms,Simulation,9,1.86443657239116,14,4.91464061440598,1.86287254283883,9.81839947815689
