DistanceMid_m,FieldQ25_m_s,FieldMedian_m_s,FieldQ75_m_s,FieldNumRows
0.0877381916419476,2.47798960399236,3.51597287330749,5.43055078508234,305
0.263214574925821,3.78608960151694,4.91527974710168,6.26380797392597,703
0.438690958209695,5.06682385110527,5.88204093904401,7.06280308725531,1461
0.614167341493568,6.31274444666909,6.96138363907185,7.67961725249919,1304
0.789643724777442,7.57605227759378,8.44068693322277,9.13370060234159,474
0.965120108061315,6.15971804416107,7.83407277596427,9.18053355071878,94
1.14059649134519,6.44767438557635,6.9162766914061,7.8025055163126,39
1.31607287462906,6.98894161711381,7.75052768323484,8.5774110606319,23
1.49154925791294,6.00982137191001,6.74345973450111,8.14764904723427,9
1.66702564119681,7.42741310472677,7.72504575394625,8.90706161805618,5
1.84250202448068,7.42199074814043,7.86393260271545,8.92132547199485,8
2.01797840776456,NaN,NaN,NaN,0
2.19345479104843,NaN,NaN,NaN,0
2.3689311743323,NaN,NaN,NaN,0
2.54440755761618,NaN,NaN,NaN,0
