Response,NumRows,P_Dataset,P_DistanceByDataset,P_VelocityByDataset,P_DistanceByVelocityByDataset,RSquared
IPI_ms,8854,5.60113096700763e-95,5.60113096700763e-95,3.61394512983749e-103,3.61394512983749e-103,0.978926356433677
Ta_ms,8854,5.60113096764348e-95,5.60113096764348e-95,3.61394513028205e-103,3.61394513028205e-103,0.978926356433677
Tb_ms,8854,5.60113096716068e-95,5.60113096716068e-95,3.61394512994539e-103,3.61394512994539e-103,0.978926356433677
