Response,Phi,BinIndex,DistanceBinMid_m,DistanceBinStart_m,DistanceBinEnd_m,NumRows,MeanValue,SDValue,MedianValue,Q1,Q3,IQR,P10,P90,P10P90Width
CallRate_Hz,0,1,0.133333333333333,0,0.266666666666667,254,148.298989695188,24.7634911116713,145.983753816759,127.286886367205,169.746575522633,42.4596891554287,114.424057562057,184.369699900854,69.9456423387972
CallRate_Hz,0,2,0.4,0.266666666666667,0.533333333333333,307,78.1316116082618,15.8343578389697,76.0872895955831,64.7325655840313,91.1303906863489,26.3978251023176,57.6671367479908,102.383214534102,44.7160777861115
CallRate_Hz,0,3,0.666666666666667,0.533333333333333,0.8,172,44.8029587003946,5.10783038525632,44.3247178703914,40.624535103486,48.4862149371479,7.86167983366188,37.9208113742386,52.3975397828673,14.4767284086288
CallRate_Hz,0,4,0.933333333333333,0.8,1.06666666666667,126,31.6699949568826,2.69907783335169,31.4202802737217,29.2892880052681,33.9879160985812,4.69862809331307,27.9421056035573,35.3608569174755,7.41875131391823
CallRate_Hz,0,5,1.2,1.06666666666667,1.33333333333333,106,24.458850039477,1.71017018849398,24.4333432129497,22.8978602901259,25.9106518248212,3.0127915346953,22.0614520600205,26.8396457695442,4.77819370952373
CallRate_Hz,0,6,1.46666666666667,1.33333333333333,1.6,76,19.9049602027434,1.04135300386929,20.0030367741683,18.8052895426557,20.8198653684929,2.01457582583718,18.4337084943681,21.2077574363661,2.77404894199798
CallRate_Hz,0,7,1.73333333333333,1.6,1.86666666666667,76,16.8104858849829,0.711757274403043,16.7631005702095,16.2237476211724,17.3915487274982,1.16780110632583,15.9525248941844,17.8330388243118,1.88051393012743
CallRate_Hz,0,8,2,1.86666666666667,2.13333333333333,49,14.5357634835048,0.5283179242059,14.5295122840527,14.0882432427951,14.9034440466339,0.815200803838767,13.8665790045733,15.3088101322852,1.44223112771193
CallRate_Hz,0,9,2.26666666666667,2.13333333333333,2.4,57,12.8485110779254,0.472774143127869,12.8615863159534,12.4885608382362,13.2427862909537,0.754225452717462,12.1977539115736,13.4665653139804,1.26881140240676
CallRate_Hz,0,10,2.53333333333333,2.4,2.66666666666667,49,11.4484926594537,0.415032182786149,11.3252316081953,11.0954121505441,11.8022396614345,0.706827510890372,10.9373424306766,12.0546428460611,1.11730041538454
CallRate_Hz,0,11,2.8,2.66666666666667,2.93333333333333,31,10.354196005462,0.26307836869298,10.3174206870348,10.1911746566243,10.4793647759163,0.288190119291995,10.0214735256831,10.7639115962207,0.742438070537665
CallRate_Hz,0,12,3.06666666666667,2.93333333333333,3.2,39,9.41021361229435,0.248851164949892,9.42071779390908,9.17863844801812,9.64158684842638,0.462948400408258,9.10669800902393,9.76266024715102,0.655962238127088
CallRate_Hz,0,13,3.33333333333333,3.2,3.46666666666667,29,8.71191002896991,0.267941241867906,8.64863297998231,8.46511399301403,8.9567913423329,0.491677349318877,8.38132972483915,9.08978798445437,0.70845825961522
CallRate_Hz,0,14,3.6,3.46666666666667,3.73333333333333,33,8.08851715860361,0.213554832760713,8.13831798727929,7.86867528530732,8.3042686093647,0.435593324057381,7.80707413954556,8.34025297857347,0.533178839027917
CallRate_Hz,0,15,3.86666666666667,3.73333333333333,4,44,7.51169764521932,0.180229346331725,7.46827304141751,7.37738167683558,7.69527274158336,0.317891064747785,7.28476049504858,7.75374549056706,0.468984995518484
CallRate_Hz,0,16,4.13333333333333,4,4.26666666666667,20,7.02558305766489,0.14828109816619,7.04177945502225,6.91026228512595,7.16243548581341,0.25217320068746,6.83325531966575,7.20943494405529,0.376179624389535
CallRate_Hz,0,17,4.4,4.26666666666667,4.53333333333333,17,6.61659006558902,0.114565215500719,6.60061492703491,6.50772685866831,6.72094631676443,0.213219458096114,6.47081606069819,6.75451407304256,0.283698012344376
CallRate_Hz,0.5,1,0.133333333333333,0,0.266666666666667,207,126.00017520572,23.8477467065447,123.096763769679,106.471037739972,143.888884577509,37.417846837537,97.6190230914023,159.618968574547,61.9999454831448
CallRate_Hz,0.5,2,0.4,0.266666666666667,0.533333333333333,239,68.3607295018358,14.3682938060953,66.7298063019935,56.4874562672728,79.5164966498336,23.0290403825608,51.6035292764231,88.6246053611949,37.0210760847717
CallRate_Hz,0.5,3,0.666666666666667,0.533333333333333,0.8,148,39.6837431435422,5.17209222126371,39.8243722614247,35.4703173365874,43.909617408402,8.43930007181451,32.7350928897614,46.2555531170908,13.5204602273294
