Response,Phi,BinIndex,DistanceBinMid_m,DistanceBinStart_m,DistanceBinEnd_m,NumRows,MeanValue,SDValue,MedianValue,Q1,Q3,IQR,P10,P90,P10P90Width
Tcall_ms,0,1,0.133333333333333,0,0.266666666666667,254,0.421298849105465,0.323320749690521,0.358791329424911,0.1,0.641910356800462,0.541910356800462,0.1,0.871133579854586,0.771133579854586
Tcall_ms,0,2,0.4,0.266666666666667,0.533333333333333,307,0.58406114370107,0.361976963294123,0.573273196905519,0.303402247992509,0.813987417347395,0.510585169354886,0.1,1.0994922397934,0.999492239793399
Tcall_ms,0,3,0.666666666666667,0.533333333333333,0.8,172,0.949712286258924,0.419802788012938,0.963207031709833,0.645531974693149,1.23649114986841,0.590959175175265,0.394315436493612,1.41435998760815,1.02004455111454
Tcall_ms,0,4,0.933333333333333,0.8,1.06666666666667,126,1.28515025478852,0.436436571839912,1.31381320773891,1.00018557653904,1.49933252503997,0.499146948500933,0.74297255171014,1.83310578950204,1.0901332377919
Tcall_ms,0,5,1.2,1.06666666666667,1.33333333333333,106,1.69074860572537,0.390132925396882,1.68659896048408,1.44874254531174,1.95493619028646,0.506193644974724,1.11697029795153,2.16385732411999,1.04688702616846
Tcall_ms,0,6,1.46666666666667,1.33333333333333,1.6,76,2.08096616646273,0.479398581977149,2.04612649373359,1.70953490755448,2.39047179392223,0.680936886367753,1.501433043447,2.7924683086763,1.2910352652293
Tcall_ms,0,7,1.73333333333333,1.6,1.86666666666667,76,2.4979325157576,0.471446834715232,2.5945756385908,2.09465581680269,2.84815428831281,0.753498471510129,1.88980951451772,3.05205443025642,1.16224491573871
Tcall_ms,0,8,2,1.86666666666667,2.13333333333333,49,2.85329605938524,0.564387570920736,2.86979927963603,2.50830554527082,3.20307086060274,0.694765315331918,2.15891693764642,3.66803025162428,1.50911331397786
Tcall_ms,0,9,2.26666666666667,2.13333333333333,2.4,57,3.26872704226845,0.576319422540178,3.26795486097735,2.79902250942557,3.70830079167246,0.909278282246886,2.57611723632839,3.95289290792623,1.37677567159784
Tcall_ms,0,10,2.53333333333333,2.4,2.66666666666667,49,3.78657599505704,0.532857483340557,3.70517026288213,3.51466009856102,4.130207498456,0.615547399894978,3.0439405202552,4.48547777073301,1.44153725047781
Tcall_ms,0,11,2.8,2.66666666666667,2.93333333333333,31,3.82317060901517,0.45912873487315,3.74324421833363,3.40668859532675,4.1513830274379,0.744694432111144,3.30996244532132,4.46577177513222,1.1558093298109
Tcall_ms,0,12,3.06666666666667,2.93333333333333,3.2,39,4.36596961227221,0.43996244259142,4.33422736447238,4.11873788898705,4.75429511999837,0.635557231011322,3.75923755055328,4.98835677710615,1.22911922655287
Tcall_ms,0,13,3.33333333333333,3.2,3.46666666666667,29,4.56359097008995,0.420763656323212,4.63763302200826,4.33860873746215,4.88490032823428,0.546291590772131,4.24598864641439,5,0.754011353585606
Tcall_ms,0,14,3.6,3.46666666666667,3.73333333333333,33,4.69978204754666,0.287295322910575,4.74419608335409,4.57244437463218,5,0.427555625367817,4.30502399401214,5,0.694976005987861
Tcall_ms,0,15,3.86666666666667,3.73333333333333,4,44,4.82813600811416,0.242078016428777,4.97016625750556,4.70232939248831,5,0.297670607511692,4.40513180927121,5,0.594868190728789
