InitialVelocity_m_s,NumSequences,MedianDeltaTStar_ms,MedianTerminalProxy_ms,MedianDifference_ms,MeanDifference_ms,MADifference_ms,SignrankPValue,CohensDz,PercentWithin10Percent
1,320,6.0998379657168,6.50374472930148,-0.548955614399491,-0.599189391083809,0.599189391083809,2.89867945065965e-54,-2.44480071615154,75
2,320,6.00036784087203,6.60409834499709,-0.603730504125056,-0.730249701667861,0.730249701667861,2.89867945065965e-54,-1.44331807745177,50
3,320,6.36969858336217,6.99656476597485,-0.178822473686821,-0.435359719204377,0.435359719204377,2.89867945065965e-54,-0.964302115526223,62.5
4,320,6.1210289980553,7.43533769587934,-1.08819836963085,-1.11554174178964,1.11554174178964,2.89867945065965e-54,-2.18808484914894,6.25
5,320,5.9634441059911,7.01687273920816,-0.977360006639775,-0.852301141169475,0.998987212398651,8.976408250329e-36,-1.0966063579209,31.25
