InitialCallDuration_ms,NumSequences,MedianBuzzReadinessDistance_m,Q1BuzzReadinessDistance_m,Q3BuzzReadinessDistance_m,MeanBuzzReadinessDistance_m,MedianDeltaTStar_ms,MeanDeltaTStar_ms,MedianPrimeResponsivityNorm,MedianMaxObservedCallRate_Hz,MedianNumCalls
3,400,1.28685845986048,0.800469522141829,2.24873806380553,1.71587474888087,6.01274348523352,6.00880756207952,1.00140517375563,146.677174393166,30
5,400,1.28253894207558,0.796984223724073,2.2408764429188,1.70220140296966,5.9838998395556,5.99968374765973,1.00428955443098,143.224394825571,30
7,400,1.28104906615972,0.795490886611677,2.23937677042547,1.69150059915019,5.9727723415346,5.99279170914505,0.997878953963175,143.41472368308,30
10,400,1.27937654252322,0.793709917993978,2.23778313014702,1.69079678424094,5.95832343748069,6.1383243450144,0.993075954231052,143.615565619857,30
