Response,Phi,BinIndex,DistanceBinMid_m,DistanceBinStart_m,DistanceBinEnd_m,NumRows,MeanValue,SDValue,MedianValue,Q1,Q3,IQR,P10,P90,P10P90Width
IPI_ms,0,1,0.133333333333333,0,0.266666666666667,254,6.93465682287789,1.16477393530546,6.85011317339509,5.89113504600076,7.85626884701336,1.9651338010126,5.42389011090503,8.73943000365495,3.31553989274992
IPI_ms,0,2,0.4,0.266666666666667,0.533333333333333,307,13.3306016408822,2.67592543586844,13.1427996097005,10.9732918156032,15.4481749793046,4.47488316370137,9.76723992513191,17.3409203199978,7.57368039486588
IPI_ms,0,3,0.666666666666667,0.533333333333333,0.8,172,22.6094389953857,2.56934732529409,22.5607887715611,20.6244235931404,24.61566924263,3.99124564948957,19.0849290125758,26.3707521675002,7.28582315492438
IPI_ms,0,4,0.933333333333333,0.8,1.06666666666667,126,31.805618957047,2.72799763886695,31.8265934665444,29.4222216242832,34.142175112626,4.71995348834274,28.2798593056484,35.7882933558153,7.508434050167
IPI_ms,0,5,1.2,1.06666666666667,1.33333333333333,106,41.0844968466458,2.88523280017949,40.92768669993,38.594166088946,43.6722028752714,5.07803678632548,37.2583180877581,45.3279343206127,8.06961623285463
IPI_ms,0,6,1.46666666666667,1.33333333333333,1.6,76,50.3755197587668,2.65214732780512,49.9924098184417,48.0310617063993,53.1765424047727,5.14548069837339,47.1525612328539,54.2484483260039,7.09588709314993
IPI_ms,0,7,1.73333333333333,1.6,1.86666666666667,76,59.591307716104,2.50617909787078,59.6550784490553,57.4992229751289,61.6380401147944,4.13881713966548,56.0757250051198,62.6860038895258,6.6102788844059
IPI_ms,0,8,2,1.86666666666667,2.13333333333333,49,68.8845426439478,2.49301902835167,68.8254347737175,67.0992713997986,70.981173432757,3.88190203295839,65.3218634511356,72.1158441630545,6.79398071191889
IPI_ms,0,9,2.26666666666667,2.13333333333333,2.4,57,77.9339850857123,2.87703946771741,77.7509068814947,75.5128647432943,80.0732778171642,4.56041307386982,74.2579944871438,81.9823077567116,7.72431326956773
IPI_ms,0,10,2.53333333333333,2.4,2.66666666666667,49,87.459089387767,3.13673060157877,88.2984149548312,84.730461252319,90.1274290113304,5.39696775901143,82.9556550779832,91.4298886011733,8.47423352319012
IPI_ms,0,11,2.8,2.66666666666667,2.93333333333333,31,96.6389556511655,2.43126528286052,96.9234492160071,95.42563193424,98.1244113622489,2.69877942800885,92.9031906969298,99.7864467824302,6.88325608550042
IPI_ms,0,12,3.06666666666667,2.93333333333333,3.2,39,106.339543021332,2.79613086821524,106.149024084613,103.717820651027,108.948802211443,5.23098156041567,102.431878499382,109.810025244401,7.37814674501972
IPI_ms,0,13,3.33333333333333,3.2,3.46666666666667,29,114.889870380326,3.51931089534188,115.625209476983,111.647378415592,118.131940057896,6.48456164230362,110.014576521722,119.312951949241,9.29837542751837
IPI_ms,0,14,3.6,3.46666666666667,3.73333333333333,33,123.715899185506,3.27561505478234,122.875513289486,120.420031139774,127.086383893059,6.66635275328504,119.900440958888,128.08941301139,8.18897205250181
IPI_ms,0,15,3.86666666666667,3.73333333333333,4,44,133.200227799153,3.17902800610981,133.899940269976,129.950220437587,135.549446105137,5.59922566754977,128.969930024985,137.272874970519,8.30294494553397
IPI_ms,0,16,4.13333333333333,4,4.26666666666667,20,142.39705764229,2.9989097857795,142.00955976319,139.617600884587,144.712307852222,5.09470696763498,138.707125847856,146.344511007597,7.63738515974089
IPI_ms,0,17,4.4,4.26666666666667,4.53333333333333,17,151.177933180754,2.61933237047673,151.501036048048,148.788691605236,153.663539342193,4.87484773695672,148.049467880506,154.540022057852,6.49055417734559
IPI_ms,0.5,1,0.133333333333333,0,0.266666666666667,207,8.22295875201045,1.55803913487679,8.12369041537967,6.94980741494272,9.39226307591742,2.4424556609747,6.26492741911121,10.2442581514928,3.97933073238164
IPI_ms,0.5,2,0.4,0.266666666666667,0.533333333333333,239,15.2710379977399,3.14467437621217,14.9858070241413,12.5760625923408,17.7030467529135,5.12698416057273,11.2836209704575,19.3785233984372,8.09490242797968
IPI_ms,0.5,3,0.666666666666667,0.533333333333333,0.8,148,25.634739976438,3.39452009982816,25.1104699966274,22.7740556064256,28.1926085977901,5.41855299136447,21.6190356667563,30.5483082092791,8.92927254252277
IPI_ms,0.5,4,0.933333333333333,0.8,1.06666666666667,108,36.5930406208789,3.48963622557797,36.4105429186434,33.8038942882366,39.4831108884375,5.67921660020093,31.9119639771112,41.1076837928937,9.19571981578256
IPI_ms,0.5,5,1.2,1.06666666666667,1.33333333333333,86,47.5992115619889,3.1922475266206,47.9310082897642,45.3715762908716,50.0186141734356,4.647037882564,43.1834501427846,51.6326569078431,8.44920676505855
IPI_ms,0.5,6,1.46666666666667,1.33333333333333,1.6,60,58.4027887392563,3.39591068465861,58.9403293468979,56.0582819824269,60.4188035658382,4.36052158341128,53.9373352270008,62.3346528205817,8.39731759358087
IPI_ms,0.5,7,1.73333333333333,1.6,1.86666666666667,57,68.0052317165595,3.08764908682372,67.988588448907,65.8704047398545,70.1627567385208,4.29235199866638,64.230496574814,72.4674135074134,8.23691693259939
IPI_ms,0.5,8,2,1.86666666666667,2.13333333333333,53,79.4275854667514,3.43553753288912,79.8739098793398,76.4364133569385,81.8592085562772,5.42279519933867,74.7565265894848,83.7771400604049,9.0206134709201
IPI_ms,0.5,9,2.26666666666667,2.13333333333333,2.4,39,89.1591992033676,3.15345767535259,88.8962469278343,86.8817681313698,91.3663754516982,4.48460732032841,85.0380594393816,93.7952438273461,8.75718438796457
IPI_ms,0.5,10,2.53333333333333,2.4,2.66666666666667,37,99.8342671206716,3.48368666106794,99.5822130294289,96.7916405601656,103.040980380113,6.24933981994748,95.57712478815,104.74677527404,9.16965048588999
IPI_ms,0.5,11,2.8,2.66666666666667,2.93333333333333,36,109.116459517596,2.92456789997751,108.933736496131,106.497139169458,112.136325419724,5.63918625026611,105.765632501184,113.255171253043,7.4895387518586
