kr,NumSequences,MedianDeltaTStar_ms,MedianTerminalProxy_ms,MedianDifference_ms,MeanDifference_ms,MADifference_ms,SignrankPValue,CohensDz,PercentWithin10Percent
3,400,3.52293530318957,2.83037741569646,0.599353180195439,0.490024407371468,0.509427853447142,8.31561767062543e-58,1.71542392210246,20
5,400,5.43082218977054,4.71966749965462,0.494933695559855,0.47410209752311,0.494641745841484,1.7245428367136e-61,1.49667781240235,35
7,400,6.78138516604315,6.58134283520775,-0.0453461385402338,-0.0675505734992504,0.300586876852824,0.483686626935681,-0.176430377938628,100
9,400,8.72343544626962,8.49092915175442,-0.418953868612057,-0.00683174456853441,0.664530018113723,0.0042666240573563,-0.00881974526525195,80
