kr,NumSequences,MedianReadinessTTC_ms,MedianDstopTTC_ms,MedianDifference_ms,MeanDifference_ms,MADifference_ms,SignrankPValue,CohensDz,PercentWithin10Percent
3,400,660.149295626135,50,610.149295626135,1472.03189876341,1472.03189876341,2.4860077642226e-67,0.863565384046858,0
5,400,457.881431210442,50,407.881431210442,1131.92614311768,1131.92614311768,2.4860077642226e-67,0.777754290205045,0
7,400,338.344769935765,50,288.344769935765,802.005302147153,802.005302147153,2.4860077642226e-67,0.764306499355337,0
9,400,266.455363926905,50,216.455363926905,644.51769735954,644.51769735954,2.4860077642226e-67,0.745856737031832,0
