SeqID,kr,InitialVelocity_m_s,InitialCallDuration_ms,CrMax_Hz,ResponsivityIndex,ResponsivityDistance_m,Responsivity_Hz,ResponsivityNorm,DeltaIpi_ms,DistanceToCeiling_Hz,BuzzReadinessIndex
1,3,1,3,285.833333333333,1,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,80.1893129569503,1
1,3,1,3,285.833333333333,2,4.82514743104381,374.73747120196,1.31103488467158,2.66853484598839,88.9041378686262,1
1,3,1,3,285.833333333333,3,4.7117347000893,383.659791944862,1.34225000097328,2.60647589608169,97.8264586115288,1
1,3,1,3,285.833333333333,4,4.60095947450583,392.794548895928,1.37420833432978,2.54586017756818,106.961215562595,1
1,3,1,3,285.833333333333,5,4.49276041695918,402.146800060117,1.40692758038525,2.48665412692706,116.313466726784,1
1,3,1,3,285.833333333333,6,4.38707761656478,411.721723871076,1.44042585610872,2.42882496118454,125.888390537743,1
1,3,1,3,285.833333333333,7,4.28385255571444,421.52462205848,1.47472170982559,2.37234065976166,135.691288725147,1
1,3,1,3,285.833333333333,8,4.18302807767457,431.560922583678,1.50983413148809,2.31716994674397,145.727589250345,1
1,3,1,3,285.833333333333,9,4.08454835493795,441.836182645201,1.54578256319021,2.26328227356384,156.002849311868,1
1,3,1,3,285.833333333333,10,3.98835885831149,452.356091755798,1.58258690993282,2.21064780208563,166.522758422464,1
1,3,1,3,285.833333333333,11,3.89440632672285,463.126474892843,1.62026755064551,2.15923738808363,177.293141559509,1
1,3,1,3,285.833333333333,12,3.80263873772929,474.153295723622,1.6588453494704,2.10902256510495,188.319962390289,1
1,3,1,3,285.833333333333,13,3.71300527871233,485.442659907517,1.69834166731493,2.05997552870717,199.609326574183,1
1,3,1,3,285.833333333333,14,3.62545631874228,497.000818476746,1.73877837367958,2.0120691210628,211.167485143412,1
1,3,1,3,285.833333333333,15,3.53994338109711,508.834171297622,1.78017785876719,1.9652768159218,223.000837964288,1
1,3,1,3,285.833333333333,16,3.45641911642043,520.949270614232,1.82256304588069,1.91957270392362,235.115937280899,1
1,3,1,3,285.833333333333,17,3.37483727650368,533.352824676472,1.86595740411594,1.87493147825099,247.519491343139,1
1,3,1,3,285.833333333333,18,3.29515268867801,546.051701454481,1.91038496135678,1.83132842061726,260.218368121147,1
1,3,1,3,285.833333333333,19,3.21732123080178,559.052932441501,1.95587031757959,1.78873938757962,273.219599108167,1
1,3,1,3,285.833333333333,20,3.14129980682964,572.363716547244,2.00243865847432,1.74714079717081,286.530383213911,1
1,3,1,3,285.833333333333,21,3.06704632294988,585.991424084091,2.05011576939041,1.70650961584123,300.158090750758,1
1,3,1,3,285.833333333333,22,2.99451966427663,599.943600847988,2.09892804961395,1.66682334570542,314.110267514654,1
1,3,1,3,285.833333333333,23,2.92367967208415,614.227972296755,2.14890252698573,1.62806001208435,328.394638963422,1
1,3,1,3,285.833333333333,24,2.85448712157057,628.852447827628,2.20006687286634,1.59019815133821,343.019114494295,1
1,3,1,3,285.833333333333,25,2.78690370013869,643.825125156858,2.25244941745839,1.5532167989815,357.991791823525,1
1,3,1,3,285.833333333333,26,2.72089198618198,659.154294803446,2.3060791654931,1.51709547807496,373.320961470113,1
1,3,1,3,285.833333333333,27,2.65641542836379,674.848444679724,2.36098581229058,1.48181418788716,389.015111346391,1
1,3,1,3,285.833333333333,28,2.59343832537859,690.916264791147,2.41719976020226,1.44735339282002,405.082931457813,1
1,3,1,3,285.833333333333,29,2.53192580618374,707.366652048076,2.47475213544516,1.41369401159165,421.533318714742,1
1,3,1,3,285.833333333333,30,2.47184381069109,724.208715192079,2.53367480533672,1.38081740667091,438.375381858746,1
1,3,1,3,285.833333333333,31,2.41315907090758,741.45177983951,2.59400039593998,1.34870537395763,455.618446506177,1
1,3,1,3,285.833333333333,32,2.35583909251438,759.105393645212,2.65576231012902,1.31734013270281,473.272060311878,1
1,3,1,3,285.833333333333,33,2.29985213687451,777.179331589143,2.71899474608447,1.28670431566321,491.34599825581,1
1,3,1,3,285.833333333333,34,2.24516720345882,795.683601388893,2.78373271622936,1.25678095948498,509.85026805556,1
1,3,1,3,285.833333333333,35,2.19175401268071,814.628449041003,2.85001206661575,1.22755349531092,528.79511570767,1
1,3,1,3,285.833333333333,36,2.13958298913,834.02436449436,2.91786949677327,1.19900573960602,548.191031161027,1
1,3,1,3,285.833333333333,37,2.08862524519674,853.882087458509,2.98734258002977,1.17112188519658,568.048754125176,1
1,3,1,3,285.833333333333,38,2.03885256507589,874.212613350386,3.05846978431622,1.14388649251758,588.379280017053,1
1,3,1,3,285.833333333333,39,1.99023738914389,895.02719938253,3.13129049346658,1.11728448106369,609.193866049197,1
1,3,1,3,285.833333333333,40,1.94275279869868,916.337370796402,3.20584502902531,1.09130112103895,630.504037463069,1
1,3,1,3,285.833333333333,41,1.89637250105453,938.154927243941,3.28217467257355,1.06592202520083,652.321593910607,1
1,3,1,3,285.833333333333,42,1.85107081498349,960.491949321175,3.3603216885872,1.04113314089384,674.658615987842,1
1,3,1,3,285.833333333333,43,1.8068226564955,983.36080525739,3.44032934783926,1.0169207422684,697.527471924056,1
1,3,1,3,285.833333333333,44,1.7636035249491,1006.77415776353,3.52224195135929,0.993271422680755,720.940824430196,1
1,3,1,3,285.833333333333,45,1.72138948948516,1030.7449710436,3.60610485496304,0.970172087269586,744.911637710269,1
1,3,1,3,285.833333333333,46,1.68015717577621,1055.2865179732,3.6919644943669,0.947609945705183,769.453184639871,1
1,3,1,3,285.833333333333,47,1.63988375308374,1080.41238744878,3.77986841089951,0.925572505107372,794.579054115442,1
1,3,1,3,285.833333333333,48,1.60054692161667,1106.13649191184,3.86986527782568,0.904047563128133,820.303158578506,1
1,3,1,3,285.833333333333,49,1.56212490018373,1132.47307505258,3.96200492729766,0.883023201194932,846.639741719249,1
1,3,1,3,285.833333333333,50,1.52459641413294,1159.43671969671,4.05633837794768,0.862487777911314,873.603386363379,1
1,3,1,3,285.833333333333,51,1.48794068357171,1187.04235587995,4.15291786313685,0.842429922611063,901.209022546617,1
