SeqID,kr,InitialVelocity_m_s,InitialCallDuration_ms,CrMax_Hz,BuzzReadinessDistance_m,PrimeResponsivity_Hz,PrimeResponsivityNorm,DeltaTStar_ms,BuzzReadinessCallNumber,BuzzReadinessSequencePercent,TerminalTbMin_ms,TerminalIpiMin_ms,TimeToTargetAtReadiness_ms,TimeFromDstopToTarget_ms,AchievedCeiling,MaxObservedCallRate_Hz,NumCalls
1,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
2,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
3,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
4,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
5,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
6,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
7,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
8,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
9,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
10,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
11,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
12,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
13,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
14,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
15,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
16,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
17,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
18,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
19,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
20,3,1,3,285.833333333333,4.94126046511628,366.022646290284,1.28054570130711,2.73207138994051,1,0.689655172413793,2.79620353347306,3.72827137796408,4941.26046511628,150,0,268.22081834238,145
21,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
22,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
23,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
24,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
25,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
26,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
27,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
28,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
29,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
30,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
31,3,1,5,285.833333333333,4.94086046511628,363.546991742038,1.27188451921413,2.75067604110329,1,0.694444444444444,2.83183186467436,3.77577581956581,4940.86046511628,150,0,264.846232347288,144
