InitialVelocity_m_s,NumSequences,MedianBuzzReadinessDistance_m,Q1BuzzReadinessDistance_m,Q3BuzzReadinessDistance_m,MeanBuzzReadinessDistance_m,MedianDeltaTStar_ms,MeanDeltaTStar_ms,MedianPrimeResponsivityNorm,MedianMaxObservedCallRate_Hz,MedianNumCalls
1,320,3.55376009013654,2.74901285010585,4.53784740645502,3.63637302502292,6.0998379657168,5.94967389305362,1.01196977538902,156.690447949228,85
2,320,1.72171755843235,1.32080697810792,2.4917260389116,1.92708426256225,6.00036784087203,6.06211952474313,1.00475148204547,154.330777982403,42
3,320,1.19455596524249,0.907019237430446,1.67496110652029,1.2933330855851,6.36969858336217,6.3157203270865,0.967313069372568,149.109177160578,27.5
4,320,0.853339434948411,0.609546830112026,1.22007604812339,0.91679615451892,6.1210289980553,5.9092810257367,1.03010253765853,137.623466983285,20
5,320,0.6621625082713,0.52014577877377,0.980137981272106,0.726880391362873,5.9634441059911,5.93771443425343,0.990744738783201,142.996818194044,16
