SweepName,Response,ConditionValue,DistanceBinMid_m,N,Mean_ms,SD_ms,Median_ms,Q1_ms,Q3_ms
kr,Ta_ms,3,0.133333333333333,283,1.45977385274977,0.302824095973868,1.43859027113591,1.23457935048198,1.67252869789446
kr,Ta_ms,3,0.4,337,2.74336492155406,0.582070255425819,2.66805990318772,2.29159590413349,3.21230798137437
kr,Ta_ms,3,0.666666666666667,202,4.69857282031996,0.603110953268247,4.67963089902262,4.19143153440319,5.19362870640777
kr,Ta_ms,3,0.933333333333333,141,6.5463457345196,0.553414513919068,6.64814874757049,6.07787662710439,6.96537646596314
kr,Ta_ms,3,1.2,119,8.27673196777348,0.496011382911484,8.28744284190913,7.8919470377626,8.68754195420606
kr,Ta_ms,3,1.46666666666667,98,9.8100574619963,0.434951543530839,9.84894951578285,9.48114834710499,10.1011144191429
kr,Ta_ms,3,1.73333333333333,75,11.3264964158437,0.464817435331552,11.2668918018352,10.9576173486453,11.6801643536885
kr,Ta_ms,3,2,77,12.8395455525451,0.469932281293719,12.698657241632,12.48302098936,13.1213468077035
kr,Ta_ms,3,2.26666666666667,69,14.3903245886009,0.468647787770784,14.3895187808717,14.096112718422,14.7745917776401
kr,Ta_ms,3,2.53333333333333,62,16.0702151320217,0.477534636135444,16.0927472860179,15.6139274260161,16.5150210126228
kr,Ta_ms,3,2.8,53,17.4461094583397,0.409896096782268,17.4489867055129,17.1289271426527,17.6990436464242
kr,Ta_ms,3,3.06666666666667,52,19.0503441130054,0.461495465092579,19.0162033007582,18.6761005573944,19.51888338094
kr,Ta_ms,3,3.33333333333333,44,20.6017495543837,0.390322211042144,20.5994903455439,20.334322240133,20.9066726304976
kr,Ta_ms,3,3.6,47,22.058092870274,0.477657642953374,22.0623734358641,21.681003359301,22.4269329440243
kr,Ta_ms,3,3.86666666666667,31,23.483454137218,0.410432958138665,23.4254245900863,23.1602007691751,23.8322689782951
kr,Ta_ms,3,4.13333333333333,44,25.1317358903496,0.468596650021358,25.0533919599379,24.7349153280185,25.5070170256547
kr,Ta_ms,3,4.4,43,26.6860580450003,0.494657634058169,26.6344694369972,26.2741004668009,27.1069195714865
kr,Ta_ms,3,4.66666666666667,14,28.1735373687388,0.330127806723649,28.0588533790198,27.9372772721939,28.459577673643
kr,Ta_ms,5,0.133333333333333,192,1.36827057763192,0.26149006549065,1.36046386593093,1.17200683270103,1.50602142670828
kr,Ta_ms,5,0.4,252,2.53967403024304,0.535437131351736,2.49887031639841,2.09237766207714,2.9758805431093
kr,Ta_ms,5,0.666666666666667,135,4.29840529687029,0.504597839941931,4.24730523527314,3.86006919958767,4.72557544200768
kr,Ta_ms,5,0.933333333333333,101,6.08207011229347,0.579612346557856,6.02300647249454,5.58647075205846,6.63981969954953
kr,Ta_ms,5,1.2,74,7.82796810353984,0.584770920915926,7.85337753628152,7.39313375146679,8.25988820891578
kr,Ta_ms,5,1.46666666666667,63,9.54308860772728,0.555106003876047,9.48304589004029,9.10678534323293,9.97198185748655
kr,Ta_ms,5,1.73333333333333,54,11.1842240324671,0.532169900668859,11.13515219574,10.6952076315987,11.6016947098367
kr,Ta_ms,5,2,54,12.8421485187885,0.511052330557653,12.8726019170626,12.4285365350295,13.1506318350235
kr,Ta_ms,5,2.26666666666667,43,14.3940503248497,0.446184505807384,14.308503736943,14.0358595516515,14.7669345781721
kr,Ta_ms,5,2.53333333333333,32,15.8960971912153,0.424816244752065,15.8247894100551,15.5691066242812,16.222516674073
kr,Ta_ms,5,2.8,36,17.4769507862466,0.478576525746689,17.3686539528618,17.1008395718606,17.9954129371478
kr,Ta_ms,5,3.06666666666667,34,19.0005777420711,0.483983511220437,18.9648152624981,18.6274981855887,19.4251657130037
kr,Ta_ms,5,3.33333333333333,28,20.4964687119633,0.52788747128886,20.4215481315294,20.07562321286,20.9271223610988
kr,Ta_ms,5,3.6,31,22.215448978223,0.41736565309864,22.2673042399931,21.9644721117183,22.4724219736677
kr,Ta_ms,5,3.86666666666667,28,23.5661889615728,0.42440897754265,23.3578470512734,23.2454588499812,23.9818217730086
kr,Ta_ms,5,4.13333333333333,22,25.1833147454161,0.498654788064016,25.1584740573077,24.8089879625505,25.6922128175874
kr,Ta_ms,5,4.4,23,26.6436781811478,0.404812443653911,26.6393514844652,26.3079275087992,26.8921664656536
kr,Ta_ms,5,4.66666666666667,6,28.1603802979821,0.359986216923402,28.163433475284,28.0327164757554,28.2782564965246
kr,Ta_ms,7,0.133333333333333,155,1.32009304452994,0.245362794204212,1.33050829068208,1.11052977030864,1.52155718431174
kr,Ta_ms,7,0.4,171,2.50399131096865,0.500976290801894,2.45254862330948,2.10002311951414,2.87126464276533
kr,Ta_ms,7,0.666666666666667,105,4.15783096073329,0.521418895415223,4.20333210386279,3.71658299641785,4.58114839404799
kr,Ta_ms,7,0.933333333333333,74,5.8652347656099,0.532746587810541,5.82573747236394,5.4748267336297,6.27530515009862
kr,Ta_ms,7,1.2,62,7.51340290274732,0.521370871185614,7.48365151413683,7.11993169739045,7.88999718651394
kr,Ta_ms,7,1.46666666666667,45,9.25843721862486,0.473588476470357,9.20486295148508,8.91413674919893,9.6639420477939
kr,Ta_ms,7,1.73333333333333,42,10.9734128525275,0.567645317009523,11.021599717308,10.5052695545562,11.4286076375462
kr,Ta_ms,7,2,26,12.8337693529047,0.539016456831755,12.8775595127582,12.5353901701561,13.2763800644869
kr,Ta_ms,7,2.26666666666667,35,14.2705007898476,0.4349013981004,14.2769636681788,13.9503875318597,14.5851996602592
kr,Ta_ms,7,2.53333333333333,27,15.980580392393,0.493378457503166,16.0307441227064,15.5623502046921,16.3968616782002
kr,Ta_ms,7,2.8,28,17.4024289605343,0.553683046388255,17.2510775812443,17.0318924551116,17.7603986300681
kr,Ta_ms,7,3.06666666666667,18,18.9983006603201,0.416023259437105,19.0065217850529,18.8183358655004,19.2119382281626
kr,Ta_ms,7,3.33333333333333,19,20.6118699211106,0.472286268601814,20.6713412388815,20.2658714827944,20.9941792589236
kr,Ta_ms,7,3.6,21,22.0099661719611,0.546647779855594,21.9857421898366,21.548602457783,22.4878019815302
kr,Ta_ms,7,3.86666666666667,25,23.7252297691123,0.450279789077543,23.8465895223997,23.3067035747705,24.0971888941295
kr,Ta_ms,7,4.13333333333333,18,25.3247075921599,0.396268525050122,25.3053599133788,25.0978127647305,25.6058612070557
kr,Ta_ms,7,4.4,8,26.6678821478049,0.362687553045155,26.6548465989453,26.3718410209269,26.8791928789967
kr,Ta_ms,7,4.66666666666667,1,27.7952920344305,0,27.7952920344305,27.7952920344305,27.7952920344305
kr,Ta_ms,9,0.133333333333333,115,1.34358229887561,0.260486076883803,1.31255808560937,1.10980454258192,1.53387165510601
kr,Ta_ms,9,0.4,146,2.47528428092502,0.500788210403933,2.37920502683937,2.14468507740032,2.88111270093276
kr,Ta_ms,9,0.666666666666667,78,4.22620642376963,0.48510525862197,4.3061446349876,3.7638436816186,4.60060206943729
kr,Ta_ms,9,0.933333333333333,59,5.86415785074978,0.552456913527421,5.93374679709015,5.50637532248034,6.31720594850432
kr,Ta_ms,9,1.2,50,7.42822507771158,0.56286845450897,7.39667241484173,6.99899365364217,7.94380355289825
kr,Ta_ms,9,1.46666666666667,36,9.29440619316939,0.480577579854719,9.34093157686468,9.04627180085875,9.5677843090545
kr,Ta_ms,9,1.73333333333333,33,10.9001692788134,0.539956955763236,10.9422543219707,10.5181393053572,11.2819270303216
kr,Ta_ms,9,2,20,12.3833564768597,0.584355736224701,12.449386267072,11.7830153366297,12.8418088297635
kr,Ta_ms,9,2.26666666666667,31,14.0844657950002,0.53066333038313,14.0407613744832,13.691384049687,14.5447119364653
kr,Ta_ms,9,2.53333333333333,16,16.0010862900525,0.403083417833977,16.0987587879391,15.7821190735383,16.3105892612452
kr,Ta_ms,9,2.8,27,17.3944600983666,0.627496437481842,17.4015730104129,16.7526650571478,18.0106600364779
kr,Ta_ms,9,3.06666666666667,14,19.1150034565949,0.398423873615429,19.0440303359311,18.7668544987971,19.508161122859
kr,Ta_ms,9,3.33333333333333,16,20.7530216444245,0.412215182707147,20.8226642899118,20.4053144196125,21.0976816389924
kr,Ta_ms,9,3.6,13,22.0287024488181,0.434396296731129,21.9948542850701,21.6628053402117,22.361089276807
kr,Ta_ms,9,3.86666666666667,13,23.6798812818861,0.396047500465811,23.6639336496701,23.4595257724864,24.0144621679281
kr,Ta_ms,9,4.13333333333333,12,25.0871060343807,0.476898188568339,25.0751814038438,24.7477173252441,25.4626817349142
kr,Ta_ms,9,4.4,5,26.5355946460106,0.333806498219793,26.4176343311344,26.2835183962618,26.7442398839826
kr,Tb_ms,3,0.133333333333333,283,4.37932155824932,0.908472287921604,4.31577081340772,3.70373805144593,5.01758609368339
kr,Tb_ms,3,0.4,337,8.23009476466218,1.74621076627746,8.00417970956317,6.87478771240046,9.63692394412311
kr,Tb_ms,3,0.666666666666667,202,14.0957184609599,1.80933285980474,14.0388926970679,12.5742946032096,15.5808861192233
kr,Tb_ms,3,0.933333333333333,141,19.6390372035588,1.6602435417572,19.9444462427115,18.2336298813132,20.8961293978894
