InitialVelocity_m_s,NumSequences,MedianDeltaTStar_ms,MedianTerminalProxy_ms,MedianDifference_ms,MeanDifference_ms,MADifference_ms,SignrankPValue,CohensDz,PercentWithin10Percent
1,320,6.0998379657168,5.57381931347113,0.385968586760172,0.335915725930426,0.360170033525019,1.31290502027774e-42,1.38380183968577,75
2,320,6.00036784087203,5.65989217789593,0.339078680115167,0.230338047852103,0.483763376014939,5.78470253572366e-09,0.489017845547354,50
3,320,6.36969858336217,6.00591160346731,0.74017658329841,0.527943020064735,0.598089492618581,7.45469232372028e-42,1.33210513770007,50
4,320,6.1210289980553,6.37438047052308,-0.0980256587485968,-0.108463557942776,0.468708707463057,0.000110724296828491,-0.219954967162862,75
5,320,5.9634441059911,6.0020764252517,-0.0453461385402338,0.126446997629002,0.55075150819737,0.799732494650357,0.163893343144415,43.75
