kr,NumSequences,MedianDeltaTStar_ms,MedianTerminalProxy_ms,MedianDifference_ms,MeanDifference_ms,MADifference_ms,SignrankPValue,CohensDz,PercentWithin10Percent
3,400,3.52293530318957,3.77383655426195,-0.383695167842879,-0.466750292226786,0.466750292226786,2.4860077642226e-67,-1.63457688396273,55
5,400,5.43082218977054,5.66360099958554,-0.451218115370401,-0.506352983492246,0.506352983492246,2.4860077642226e-67,-1.3285981160075,65
7,400,6.78138516604315,7.52153466880885,-0.977360006639775,-1.05274366655298,1.05274366655298,2.4860077642226e-67,-2.39843320238917,20
9,400,8.72343544626962,9.43436572417158,-1.35130305126264,-0.960266413660117,1.07761527064346,1.15337364468407e-56,-1.21531647890484,40
