kr,NumSequences,MedianBuzzReadinessDistance_m,Q1BuzzReadinessDistance_m,Q3BuzzReadinessDistance_m,MeanBuzzReadinessDistance_m,MedianDeltaTStar_ms,MeanDeltaTStar_ms,MedianPrimeResponsivityNorm,MedianMaxObservedCallRate_Hz,MedianNumCalls
3,400,1.98044788687841,1.42607693305618,3.16041845591853,2.51556465197438,3.52293530318957,3.36034850616623,0.993075954231052,264.982399127533,47.5
5,400,1.37364429363133,1.00790535694124,1.99651392547996,1.86171988477856,5.43082218977054,5.37637750259989,0.966302345962181,176.566137111529,32
7,400,1.01503430980729,0.695418703158815,1.45380206972764,1.33910172437311,6.78138516604315,6.82880107787688,1.03180757130159,132.95160751017,23
9,400,0.799366091780716,0.522673822973344,1.1911178815384,1.08398727411562,8.72343544626962,8.57408027725571,1.00262770998188,105.995509915957,19
